Utterance,Intent,Source,Notes
how do I see how much is in savings acct,AccountBalance,Synthetic,
savings balance,AccountBalance,Synthetic,
whatʻs my balance on my account,AccountBalance,Synthetic,
dumb question but how do I see how much I have in my main checking account with you guys,AccountBalance,Synthetic,
I want you to show me the balance on my credit card,AccountBalance,Synthetic,
give my account total,AccountBalance,Synthetic,
I canʻt find my up to date balance on the cc,AccountBalance,Synthetic,
are you able to tell me my available balance,AccountBalance,Synthetic,
tell me how much money I have in checking,AccountBalance,Synthetic,
want to see mortgage acct balance,AccountBalance,Synthetic,
can you tell me how much I have on alt account now,AccountBalance,Synthetic,
how much is in my savings account,AccountBalance,Synthetic,
credit card balance,AccountBalance,Synthetic,
what all is in checking at the moment,AccountBalance,Synthetic,
what do I have in my account right now,AccountBalance,Synthetic,
whatʻs in savings right now,AccountBalance,Synthetic,
whatʻs my balance in my account,AccountBalance,Synthetic,
I want to see balances on my accounts,AccountBalance,Synthetic,
need to know the balance to make the payment,AccountBalance,Synthetic,
show the balance on my checking account,AccountBalance,Synthetic,
balance in my savings account,AccountBalance,Synthetic,
balance of emergency savings acct,AccountBalance,Synthetic,
show amount in my checking account,AccountBalance,Synthetic,
give balance for my savings,AccountBalance,Synthetic,
show me tthe amount in my saving account right now,AccountBalance,Synthetic,
show me my balance so I can decide from which account I will withdraw,AccountBalance,Synthetic,
show mye my savings acct balance,AccountBalance,Synthetic,
whatʻs my balance,AccountBalance,Synthetic,
where can I see how much is in both of my savings accounts,AccountBalance,Synthetic,
i want to check my balance but not on my main account,AccountBalance,Synthetic,
What is the balance of my checking account,AccountBalance,Synthetic,
trying to figure out my account balances,AccountBalance,Synthetic,
What's the balance on my credit card?,AccountBalance,Synthetic,
what's the balance on my mortgage,AccountBalance,Synthetic,
check account balance for me,AccountBalance,Synthetic,
how much is in my checking account,AccountBalance,Synthetic,
please tell me the balance of my credit card accounts,AccountBalance,Synthetic,
what is my account balance for my savings account,AccountBalance,Synthetic,
Whatʻs my total in my savings account,AccountBalance,Synthetic,
need to see account balances,AccountBalance,Synthetic,
checking balance,AccountBalance,Synthetic,
Show my my balance on piggybank,AccountBalance,Synthetic,
give my checking total,AccountBalance,Synthetic,
account balance,AccountBalance,Synthetic,
need to check balance of college savings account,AccountBalance,Synthetic,
how much money is in savings,AccountBalance,Synthetic,
balance on my amex card,AccountBalance,Synthetic,
show account balance,AccountBalance,Synthetic,
how do I check my account balance,AccountBalance,Synthetic,
balance of my checking account,AccountBalance,Synthetic,
give me my balance for the saving account,AccountBalance,Synthetic,
checking account balance,AccountBalance,Synthetic,
are you capable of showing me the account balance for my checking account,AccountBalance,Synthetic,
how much money is in my checking account,AccountBalance,Synthetic,
would like to know how much is in my college savings account,AccountBalance,Synthetic,
how much is there in my checking account?,AccountBalance,Synthetic,
balance of my checking account presently,AccountBalance,Synthetic,
whatʻs my total in checking right now,AccountBalance,Synthetic,
would like to know balance of my visa credit card,AccountBalance,Synthetic,
Where on the app is summary of account balances,AccountBalance,Synthetic,
Would like to know available balance in savings account,AccountBalance,Synthetic,
where can I see my current balance on my checking account,AccountBalance,Synthetic,
how much do I owe on my credit cards,AccountBalance,Synthetic,
I can't find the screen that shows outstanding mortgage balance,AccountBalance,Synthetic,
need to know how much is in savings,AccountBalance,Synthetic,
Direct me to that page that shows how much I've got in savings please,AccountBalance,Synthetic,
how can I see balance on my mortgage,AccountBalance,Synthetic,
whatʻs my balance,AccountBalance,Synthetic,
balance of savings,AccountBalance,Synthetic,
balance of checking,AccountBalance,Synthetic,
need to know my balance,AccountBalance,Synthetic,
how much money is in my savings account,AccountBalance,Synthetic,
whatʻs in the checking account right now,AccountBalance,Synthetic,
tell me how much is in checking right now,AccountBalance,Synthetic,
what is my account balance,AccountBalance,Synthetic,
What is the balance on my mortgage?,AccountBalance,Synthetic,
how much do I have in the bank,AccountBalance,Synthetic,
Whatʻs the amount in my savings account,AccountBalance,Synthetic,
give my checking account total,AccountBalance,Synthetic,
just want to know amount I have in savings,AccountBalance,Synthetic,
please tell me how much I have in my accounts,AccountBalance,Synthetic,
can I see available balance info for my accounts,AccountBalance,Synthetic,
what do i have in savings presently,AccountBalance,Synthetic,
how much money do I have in checking,AccountBalance,Synthetic,
amount in saving account,AccountBalance,Synthetic,
how much money do I have,AccountBalance,Synthetic,
I'd like to know what the available balance is in my checking,AccountBalance,Synthetic,
what was my balance again,AccountBalance,Synthetic,
can you please tell me how much money is in my savings account,AccountBalance,Synthetic,
I want you to show me my checking acct balance,AccountBalance,Synthetic,
what is available in savings account,AccountBalance,Synthetic,
how much credit card debt do I got?,AccountBalance,Synthetic,
outsanding balance please,AccountBalance,Synthetic,
want to see checking acct balance,AccountBalance,Synthetic,
what's in my checking account,AccountBalance,Synthetic,
How much do I have in my savings account?,AccountBalance,Synthetic,
balance of credit card,AccountBalance,Synthetic,
where can I see my account balances,AccountBalance,Synthetic,
I want to see my account balance,AccountBalance,Synthetic,
do I have any money left on my account,AccountBalance,Synthetic,
need to know how much is in checking right now,AccountBalance,Synthetic,
give me the amount I have in savings,AccountBalance,Synthetic,
hey give me my balance,AccountBalance,Synthetic,
wanting to check amount I have in my checking account,AccountBalance,Synthetic,
how much money in my account,AccountBalance,Synthetic,
show my balance,AccountBalance,Synthetic,
do i have money in my savings account right now,AccountBalance,Synthetic,
saving account balance,AccountBalance,Synthetic,
give my available funds,AccountBalance,Synthetic,
what do I have in my savings,AccountBalance,Synthetic,
need to check balance of my credit cards,AccountBalance,Synthetic,
need to check the balance of my main savings account,AccountBalance,Synthetic,
what's the balance on my Visa signature credit card,AccountBalance,Synthetic,
available funds in my checking account,AccountBalance,Synthetic,
show me balance of college savings acct please,AccountBalance,Synthetic,
whatʻs in my checking again,AccountBalance,Synthetic,
Can you please direct me to the page that shows me my account balances,AccountBalance,Synthetic,
Am I close to having a negative balance in my checking?,AccountBalance,Synthetic,
How much do I have available on my checking account,AccountBalance,Synthetic,
I need tto check how my much money I have left on my acount,AccountBalance,Synthetic,
give me an update on my account balance,AccountBalance,Synthetic,
would like to know how much I have in my checking account,AccountBalance,Synthetic,
what's the amount I have in my checking account,AccountBalance,Synthetic,
balance of the savings account,AccountBalance,Synthetic,
show me balance of checking acct,AccountBalance,Synthetic,
how much I got in savings?,AccountBalance,Synthetic,
check balance,AccountBalance,Synthetic,
How much do I have in savings?,AccountBalance,Synthetic,
Can you pull up my balance in my savings account,AccountBalance,Synthetic,
whatʻs my available balance?,AccountBalance,Synthetic,
checking account total,AccountBalance,Synthetic,
can you show balance of all my accounts,AccountBalance,Synthetic,
can you show me the review screen of all my account balances,AccountBalance,Synthetic,
where on this app can I see how much there is in my checking account,AccountBalance,Synthetic,
how much do I have in my checking account,AccountBalance,Synthetic,
is there a place i can see balance of my debit card and the savings account,AccountBalance,Synthetic,
wha do I have in checking,AccountBalance,Synthetic,
give my checking account amount,AccountBalance,Synthetic,
can you tell me what my account balance is,AccountBalance,Synthetic,
Still something on acount B? havenʻt checked in awhile,AccountBalance,Synthetic,
"what's in savings, how much",AccountBalance,Synthetic,
how can I see how much is in savings,AccountBalance,Synthetic,
mortgage balance,AccountBalance,Synthetic,
how much is in savings,AccountBalance,Synthetic,
how much do I have in checking,AccountBalance,Synthetic,
How do I see my mortgage account balance,AccountBalance,Synthetic,
Can you pull up my account balance,AccountBalance,Synthetic,
how much is in checking,AccountBalance,Synthetic,
How much left on my baby account,AccountBalance,Synthetic,
how much money in savings account,AccountBalance,Synthetic,
how much do I still owe on my mortgage,AccountBalance,Synthetic,
show me balance of my credit card,AccountBalance,Synthetic,
just checking how much I owe on my credit card,AccountBalance,Synthetic,
how much money is in checking,AccountBalance,Synthetic,
want to find out the amount I have in savings please,AccountBalance,Synthetic,
current balance in checking account,AccountBalance,Synthetic,
iʻm ready to pay my credit card bill,PayCreditCard,Synthetic,
I have a credit card bill coming up that i would like to pay,PayCreditCard,Synthetic,
need to take care and pay for the amex card,PayCreditCard,Synthetic,
se up my payment to my amex card for 100 dollars,PayCreditCard,Synthetic,
pay the total balance of the credit card,PayCreditCard,Synthetic,
go ahead and pay the credit card bill for me,PayCreditCard,Synthetic,
i want to pay the amex credit card bill,PayCreditCard,Synthetic,
i want to pay the full amount on my amex,PayCreditCard,Synthetic,
set up the payment for my credit card bill,PayCreditCard,Synthetic,
can you walk through the process for paying a credit card,PayCreditCard,Synthetic,
make a payment to my credit card,PayCreditCard,Synthetic,
make a payment to my amex card,PayCreditCard,Synthetic,
pay the credit card bill in full,PayCreditCard,Synthetic,
pay the 100 dollar credit card bill,PayCreditCard,Synthetic,
pay full balance on my credit card,PayCreditCard,Synthetic,
i need to pay my credit card,PayCreditCard,Synthetic,
I wantt to pay 100 to amex but from my baby account,PayCreditCard,Synthetic,
help me pay my credit card bill,PayCreditCard,Synthetic,
pay credit card 120 bucks from alt account,PayCreditCard,Synthetic,
i want to pay off my credit card,PayCreditCard,Synthetic,
Pay my Visa bill,PayCreditCard,Synthetic,
pay $100 to the credit card bill,PayCreditCard,Synthetic,
pay credit card for 100 dollars,PayCreditCard,Synthetic,
